CustomerID,StartTime,EndTime,AvgHR,MaxHR,AvgMPH,MaxMPH,AvgOxygen,ElevationGain,KCal,Weight,Age
100602,012125 22:28:00,012125 23:41:00,144,151,15,38,90,2194,1302,100,73
100789,010925 05:50:00,010925 07:11:00,140,142,14,32,97,193,1462,189,42
100151,011525 14:05:00,011525 14:58:00,161,172,16,45,98,441,1168,185,32
100817,012025 17:13:00,012025 17:51:00,145,173,16,26,94,315,728,168,50
100671,010625 15:44:00,010625 16:53:00,151,176,18,29,95,862,2422,229,27
100854,012425 21:03:00,012425 21:28:00,154,178,15,47,97,1481,922,244,76
100632,010325 17:53:00,010325 18:44:00,147,176,11,44,94,2255,1297,192,40
100894,011125 12:21:00,011125 13:40:00,154,171,11,32,98,3555,3039,228,50
100289,010225 13:13:00,010225 14:10:00,141,156,20,34,97,3967,3903,209,51
100383,012025 20:32:00,012025 21:08:00,156,167,19,49,90,2727,1956,216,61
100883,010925 11:55:00,010925 12:41:00,162,167,14,29,94,3094,1962,215,42
100835,012125 16:29:00,012125 16:57:00,151,172,11,16,96,78,255,127,23
100186,021025 15:56:00,021025 16:39:00,137,147,10,40,98,2969,685,115,90
100573,011425 05:24:00,011425 06:35:00,162,166,10,42,94,1965,843,105,90
100235,012925 07:30:00,012925 08:57:00,138,141,11,11,93,1196,1756,196,41
100249,021125 21:35:00,021125 22:55:00,153,166,11,12,92,1830,1747,181,27
100808,021225 15:58:00,021225 16:12:00,145,180,10,11,98,570,187,172,72
100002,012425 09:35:00,012425 10:36:00,161,177,10,13,97,3441,2028,221,83
100190,012525 21:02:00,012525 22:17:00,135,143,19,38,96,2084,2234,135,80
100689,020425 19:42:00,020425 20:17:00,158,165,11,29,93,840,749,230,58
100894,010825 09:28:00,010825 10:11:00,149,173,15,40,93,65,955,228,50
100313,012025 15:53:00,012025 16:16:00,148,179,19,35,92,3657,1458,214,25
100295,010825 11:42:00,010825 12:13:00,169,179,20,31,99,287,998,228,61
100710,020125 18:56:00,020125 19:42:00,165,174,18,34,94,86,1339,247,22
100518,021025 13:53:00,021025 14:47:00,147,166,18,26,94,2826,1875,143,58
100876,012325 16:35:00,012325 16:57:00,154,156,20,32,91,877,478,127,67
100998,011825 19:14:00,011825 20:13:00,162,165,10,36,96,68,809,211,62
100765,012925 07:28:00,012925 08:42:00,144,174,13,17,94,3254,3155,225,51
100753,011125 18:11:00,011125 18:43:00,148,153,12,36,98,2165,589,130,29
100494,010825 20:29:00,010825 21:51:00,153,178,17,20,96,257,1197,123,41
100152,010325 10:52:00,010325 12:10:00,167,167,11,39,91,2005,2036,208,26
100281,013125 12:24:00,013125 13:41:00,138,178,10,16,95,1194,1059,147,18
100431,010325 14:21:00,010325 15:40:00,156,175,13,28,94,847,1062,122,80
100127,010525 15:01:00,010525 15:50:00,150,165,12,34,98,1998,676,101,66
100273,013125 21:56:00,013125 23:11:00,136,156,15,24,99,1622,2713,231,36
100918,012525 21:56:00,012525 23:25:00,150,177,10,17,94,1212,2033,243,56
100657,012125 17:18:00,012125 18:21:00,146,150,15,30,94,2350,1869,161,58
100863,010925 05:28:00,010925 05:49:00,146,148,14,20,90,55,213,112,68
100044,010225 13:27:00,010225 13:49:00,152,163,11,33,94,469,289,159,69
100042,010625 05:44:00,010625 06:31:00,136,171,17,33,90,2945,1972,179,90
100668,011225 13:45:00,011225 13:58:00,170,174,19,39,96,3492,824,220,48
100960,011425 05:27:00,011425 06:22:00,164,175,11,26,91,3873,1093,112,48
100918,011025 07:13:00,011025 07:29:00,163,170,13,15,95,1382,497,243,56
100768,010425 22:30:00,010425 23:51:00,136,136,17,18,94,800,2613,227,21
100228,012325 08:30:00,012325 08:49:00,147,170,10,39,94,2911,427,164,52
100644,011225 07:48:00,011225 08:05:00,146,158,11,23,97,3499,602,212,74
100278,010925 06:31:00,010925 07:37:00,148,151,15,22,99,873,1548,183,61
100350,012425 07:18:00,012425 08:08:00,164,164,18,23,95,1550,1181,128,37
100058,021425 05:24:00,021425 06:41:00,138,159,18,41,92,433,1740,169,61
100516,012525 19:27:00,012525 20:21:00,161,180,13,35,91,3646,1519,139,56
100766,010425 16:01:00,010425 17:07:00,147,149,20,27,95,1175,1659,135,28
100868,011625 16:59:00,011625 17:40:00,170,172,10,28,95,2502,1013,195,32
100489,021125 12:03:00,021125 12:52:00,135,153,15,16,95,1131,743,110,43
100394,011725 22:12:00,011725 23:42:00,135,148,15,35,91,3687,3258,154,60
100579,011725 20:14:00,011725 21:14:00,137,179,16,30,93,3454,1563,108,68
100425,010325 14:59:00,010325 15:09:00,144,177,15,21,97,816,175,139,59
100513,021225 18:29:00,021225 19:22:00,136,157,19,26,91,2656,2262,172,61
100790,010325 19:19:00,010325 19:47:00,136,178,16,36,94,3464,812,120,42
100900,013025 13:58:00,013025 14:09:00,163,178,11,47,90,3551,435,235,40
100650,012625 18:35:00,012625 19:44:00,149,149,19,41,95,2549,4192,250,54
100600,010325 20:06:00,010325 20:50:00,152,175,20,45,93,3784,1849,132,48
100131,020225 19:11:00,020225 20:29:00,148,175,10,49,94,2692,1713,167,81
101000,012725 10:56:00,012725 11:16:00,172,177,14,40,94,3955,966,211,55
100430,021225 07:11:00,021225 07:23:00,161,163,20,49,99,3129,763,223,53
100006,010625 10:27:00,010625 10:54:00,172,179,20,41,95,2827,1625,223,62
100717,011525 18:54:00,011525 19:50:00,163,164,14,39,96,2714,1325,128,62
100397,011325 20:47:00,011325 22:02:00,148,150,19,50,98,2638,4395,237,52
100342,021325 08:01:00,021325 09:25:00,147,151,13,31,92,2551,2026,145,55
100522,010525 05:26:00,010525 06:35:00,152,160,11,11,97,1401,1635,218,18
100489,011925 06:41:00,011925 07:28:00,152,163,15,29,90,580,605,110,43
100144,010225 06:00:00,010225 06:46:00,165,179,18,26,98,15,907,172,63
100488,012825 13:15:00,012825 14:18:00,162,163,18,36,96,807,1757,185,84
100144,020725 05:02:00,020725 05:28:00,167,180,12,41,98,3146,767,172,63
100748,012525 05:59:00,012525 06:44:00,140,153,14,41,98,865,537,100,37
100169,011025 08:30:00,011025 08:51:00,143,171,16,49,94,1732,515,143,74
100268,012525 22:45:00,012525 00:10:00,151,164,15,50,94,227,2113,240,80
100095,011725 13:52:00,011725 15:00:00,164,177,13,35,93,2638,2140,186,86
100291,020525 10:38:00,020525 10:56:00,157,167,20,33,94,3250,645,123,29
100357,010625 09:12:00,010625 10:40:00,167,175,14,44,91,694,1305,131,43
100781,020225 05:13:00,020225 05:25:00,169,180,15,20,90,3703,537,190,81
100537,011425 09:02:00,011425 10:20:00,142,152,11,17,94,554,1161,175,89
100589,012925 11:08:00,012925 12:24:00,135,142,11,37,94,2269,1868,185,66
100423,012125 16:21:00,012125 17:00:00,166,172,15,15,92,1708,1390,223,75
100246,011825 07:16:00,011825 07:49:00,171,175,17,46,96,3825,997,111,73
100341,021325 12:49:00,021325 13:17:00,146,162,10,45,93,2781,389,104,78
100809,011125 11:44:00,011125 12:23:00,155,178,11,34,91,892,516,140,83
100106,011925 07:50:00,011925 09:12:00,151,151,11,41,94,1911,2156,214,49
100896,010925 14:26:00,010925 14:40:00,160,172,12,28,99,466,314,249,55
100435,010725 15:45:00,010725 16:12:00,144,180,19,46,94,920,1031,232,56
100690,010525 14:35:00,010525 16:02:00,166,171,10,31,97,1916,1839,189,46
100002,020625 05:52:00,020625 06:32:00,159,165,13,40,94,1248,1091,221,83
100088,021125 10:09:00,021125 11:32:00,168,170,19,36,98,2956,2855,131,52
100622,013125 18:50:00,013125 20:12:00,159,162,18,47,90,2670,4639,240,27
100152,011125 15:48:00,011125 16:17:00,137,172,10,49,91,403,443,208,26
100729,012225 14:49:00,012225 16:16:00,158,175,17,34,94,3199,4249,199,46
100460,011125 07:26:00,011125 07:45:00,160,166,18,37,94,996,687,227,51
100748,020625 22:28:00,020625 22:43:00,152,168,14,35,91,767,173,100,37
100576,010825 12:10:00,010825 12:37:00,144,174,14,22,90,3104,923,172,54
100857,013025 14:54:00,013025 15:56:00,147,153,17,49,96,93,879,127,69
100053,010325 21:50:00,010325 23:02:00,162,174,14,47,90,756,1363,164,19
100011,012225 17:56:00,012225 19:11:00,166,177,18,29,90,1438,1818,135,37
100870,012725 19:26:00,012725 20:52:00,149,158,18,25,91,3655,5768,239,90
100751,011225 15:55:00,011225 16:50:00,159,178,18,29,98,3787,3721,236,64
100871,013125 11:07:00,013125 12:31:00,152,162,15,16,90,2443,2224,141,64
100374,010925 09:40:00,010925 10:52:00,165,178,20,45,93,2289,3074,176,76
100718,011625 08:53:00,011625 09:09:00,141,156,16,26,97,3271,411,110,21
100203,020125 05:36:00,020125 06:23:00,143,152,12,12,99,3508,961,112,85
100521,011625 17:47:00,011625 18:17:00,166,168,10,41,90,28,418,218,57
100608,021325 20:12:00,021325 20:59:00,141,178,15,15,94,2369,1243,143,73
100714,012225 14:49:00,012225 15:51:00,143,164,14,50,97,2165,1528,149,49
100200,021425 13:51:00,021425 14:06:00,151,179,17,21,94,3877,902,219,40
100643,020825 17:43:00,020825 18:08:00,144,177,14,48,91,1938,920,234,38
100564,020325 10:57:00,020325 11:26:00,137,153,11,28,91,3524,1085,223,62
100875,013125 11:59:00,013125 13:09:00,139,157,10,23,93,992,1250,202,43
100119,012325 15:40:00,012325 17:03:00,140,166,10,48,93,2365,1718,168,25
100530,021425 09:39:00,021425 10:33:00,146,179,17,44,99,1077,848,102,69
100086,020925 19:45:00,020925 20:41:00,138,178,14,47,96,147,1256,239,45
100118,021225 18:40:00,021225 18:52:00,158,177,10,24,92,1310,160,139,86
100322,011725 06:35:00,011725 07:48:00,154,160,14,29,97,922,2082,235,45
100520,010225 14:15:00,010225 15:04:00,146,166,16,17,99,1021,1440,206,82
100693,020125 05:50:00,020125 06:46:00,159,171,15,22,91,156,802,142,79
100383,011925 21:23:00,011925 22:03:00,159,169,20,50,98,3053,2430,216,61
100115,012225 13:37:00,012225 13:56:00,158,173,19,20,96,3919,862,147,82
100179,012425 07:34:00,012425 08:54:00,144,163,19,29,93,2993,4568,216,88
100044,011825 12:24:00,011825 13:05:00,157,176,15,29,94,3805,1561,159,69
100093,010825 05:26:00,010825 05:37:00,169,172,13,16,93,1152,243,184,85
100102,011025 05:38:00,011025 06:41:00,158,168,15,21,90,1550,1211,125,27
100318,013125 20:47:00,013125 20:59:00,148,156,16,39,94,1930,420,195,84
100619,010225 11:06:00,010225 12:36:00,172,178,16,33,94,2387,2157,121,31
100738,012325 07:35:00,012325 07:58:00,145,176,16,46,98,847,408,131,44
100705,021225 17:05:00,021225 18:09:00,166,180,15,42,91,692,1684,217,38
100339,020925 10:01:00,020925 10:48:00,161,180,14,35,99,2994,1904,208,63
100175,010925 16:45:00,010925 17:16:00,170,176,19,22,90,1593,751,123,21
100710,021025 11:16:00,021025 11:29:00,167,174,14,48,91,2704,592,247,22
100908,010225 18:29:00,010225 19:03:00,144,180,19,30,93,1110,655,111,58
100087,011125 10:13:00,011125 11:39:00,147,171,11,50,92,3382,3101,220,38
100347,012825 06:55:00,012825 07:51:00,162,163,12,16,96,2798,2065,229,77
100226,011525 12:49:00,011525 13:58:00,166,176,13,27,98,1255,1544,181,63
100914,020925 10:14:00,020925 11:05:00,135,140,17,41,95,1575,1736,194,86
100272,020125 15:33:00,020125 16:47:00,158,180,11,39,95,3045,1829,160,83
100570,020925 17:04:00,020925 18:12:00,153,165,10,45,97,2582,1190,136,80
100575,010725 20:47:00,010725 22:01:00,140,167,16,39,94,3562,4309,237,63
100897,010325 20:06:00,010325 21:07:00,144,180,16,23,90,219,1411,210,44
100840,020625 12:26:00,020625 13:27:00,137,176,13,33,95,173,703,131,38
100564,013125 10:25:00,013125 10:44:00,163,175,20,38,98,2361,1043,223,62
100256,010725 15:47:00,010725 17:00:00,141,171,10,19,97,1780,1369,173,68
100640,012025 12:52:00,012025 13:20:00,169,172,11,30,96,2148,384,106,47
100843,010625 15:59:00,010625 16:17:00,171,173,19,28,94,3973,919,164,34
100647,020425 20:54:00,020425 21:36:00,148,152,11,24,97,1268,970,220,19
100557,020825 08:58:00,020825 10:00:00,139,141,12,32,91,3830,1741,146,43
100856,012525 10:45:00,012525 11:28:00,142,144,20,49,90,2117,2001,199,50
100272,012525 15:31:00,012525 16:50:00,145,163,12,22,96,3250,2209,160,83
100107,011725 17:38:00,011725 19:00:00,170,177,11,18,96,1579,1621,174,19
100637,021025 17:47:00,021025 18:45:00,170,177,17,44,98,855,1516,181,38
100478,010425 10:22:00,010425 10:50:00,153,162,10,49,96,3152,994,248,71
100500,021325 18:41:00,021325 19:32:00,141,161,18,43,95,532,930,132,33
100871,012925 22:58:00,012925 23:41:00,148,151,10,29,97,3081,857,141,64
100669,011525 14:41:00,011525 15:50:00,145,153,17,44,96,3825,2932,156,41
100460,010825 06:02:00,010825 06:42:00,152,167,15,29,93,167,920,227,51
100523,011025 10:17:00,011025 11:12:00,138,138,19,39,98,2355,1889,147,32
100179,010925 17:55:00,010925 18:27:00,150,166,14,46,95,3010,1350,216,88
100344,012525 17:07:00,012525 17:31:00,151,156,15,33,98,2991,781,156,46
100921,010925 20:09:00,010925 20:19:00,149,166,10,12,91,885,140,164,74
100952,012025 21:23:00,012025 21:48:00,145,164,10,29,95,1154,275,119,61
100777,020125 13:20:00,020125 14:33:00,160,170,15,33,94,2951,1648,109,62
