CustomerID,StartTime,EndTime,AvgHR,MaxHR,AvgMPH,MaxMPH,AvgOxygen,ElevationGain,KCal,Weight,Age
100401,022224 15:26:00,022224 16:09:00,169,177,11,35,90,590,107,221,44
100402,022224 15:06:00,022224 15:46:00,142,159,12,47,90,2426,210,218,35
100403,022224 17:38:00,022224 18:29:00,170,178,15,41,90,136,111,201,49
100404,022224 12:19:00,022224 12:55:00,156,159,10,32,99,1993,143,200,75
100405,022224 11:53:00,022224 12:14:00,152,171,14,21,90,1051,34,101,31
100406,022224 05:13:00,022224 06:20:00,170,175,14,18,90,709,222,236,55
100407,022224 08:08:00,022224 08:58:00,156,179,14,36,90,1980,162,144,27
100408,022224 13:11:00,022224 13:27:00,165,178,17,36,90,592,37,153,67
100409,022224 16:06:00,022224 16:25:00,145,163,10,16,90,3241,127,238,35
100410,022224 19:03:00,022224 19:29:00,136,145,15,31,90,1640,113,208,55
100411,022224 09:18:00,022224 10:18:00,159,160,11,49,90,766,135,181,22
100412,022224 19:06:00,022224 19:33:00,156,174,17,17,90,2513,107,142,44
100413,022224 10:06:00,022224 10:48:00,164,166,15,30,90,3541,179,127,24
100414,022224 09:13:00,022224 10:13:00,137,150,13,30,96,3532,359,186,42
100415,022224 18:26:00,022224 18:52:00,156,180,10,23,90,386,30,129,51
100416,022224 16:33:00,022224 17:04:00,151,167,14,25,90,2819,112,129,75
100417,022224 05:20:00,022224 06:07:00,142,153,20,25,90,3797,401,221,75
100418,022224 17:04:00,022224 17:28:00,171,178,18,49,99,1741,61,109,49
100419,022224 16:12:00,022224 16:44:00,141,158,13,39,90,2805,119,136,30
100420,022224 13:16:00,022224 14:05:00,165,167,14,38,90,3608,240,147,34
100421,022224 09:50:00,022224 10:22:00,138,143,18,23,90,1497,163,233,29
100422,022224 18:46:00,022224 19:16:00,167,180,14,41,90,3578,203,204,58
100423,022224 07:30:00,022224 08:35:00,135,151,11,15,90,223,112,196,50
100424,022224 10:31:00,022224 11:05:00,168,179,16,33,90,2337,110,124,73
100425,022224 22:22:00,022224 22:59:00,163,164,11,48,90,1815,85,119,60
100426,022224 15:53:00,022224 16:26:00,140,165,11,29,90,2341,162,214,28
100427,022224 17:29:00,022224 18:01:00,135,178,10,26,90,1772,109,186,72
100428,022224 15:30:00,022224 16:29:00,147,176,18,49,90,1140,173,150,44
100429,022224 12:40:00,022224 13:52:00,154,168,19,36,90,2771,378,169,57
100430,022224 07:51:00,022224 08:24:00,136,156,17,35,90,981,135,229,48
100431,022224 18:26:00,022224 19:03:00,144,162,19,49,94,905,69,101,49
100432,022224 17:47:00,022224 18:19:00,157,163,10,46,96,2046,69,107,69
100433,022224 10:43:00,022224 11:06:00,144,169,15,20,90,199,36,140,67
100434,022224 09:51:00,022224 10:58:00,138,160,18,29,90,2290,403,221,49
100435,022224 12:52:00,022224 13:13:00,155,161,12,29,90,1247,74,218,73
100436,022224 10:55:00,022224 11:33:00,153,176,16,17,99,690,81,140,56
100437,022224 19:39:00,022224 20:49:00,165,180,20,26,90,2595,437,204,37
100438,022224 22:21:00,022224 22:51:00,160,176,16,48,90,3260,237,244,31
100439,022224 10:53:00,022224 11:55:00,158,170,13,38,99,138,128,217,27
100440,022224 06:52:00,022224 07:34:00,155,155,18,37,90,2962,332,249,70
100441,022224 22:39:00,022224 23:07:00,138,138,14,32,90,3240,154,178,50
100442,022224 05:08:00,022224 06:18:00,153,162,13,34,90,3831,553,231,19
100443,022224 15:57:00,022224 16:42:00,157,177,18,22,90,1099,193,222,40
100444,022224 22:32:00,022224 22:51:00,155,163,19,19,90,2492,124,224,62
100445,022224 18:46:00,022224 20:00:00,168,178,19,19,90,2942,484,203,75
100446,022224 12:02:00,022224 12:53:00,146,152,17,30,90,2588,351,241,72
100447,022224 19:25:00,022224 19:50:00,171,173,18,40,90,1712,80,137,76
100448,022224 05:10:00,022224 06:21:00,144,145,19,38,90,63,178,192,34
100449,022224 10:23:00,022224 10:50:00,157,161,10,26,90,2522,114,181,55
100450,022224 16:52:00,022224 17:17:00,141,173,20,33,90,947,74,151,45
100451,022224 15:32:00,022224 16:17:00,154,164,18,28,90,2667,329,246,50
100452,022224 14:33:00,022224 15:03:00,172,178,17,21,90,2524,100,119,59
100453,022224 18:30:00,022224 19:25:00,152,164,18,37,96,3103,271,151,68
100454,022224 22:25:00,022224 23:08:00,162,164,17,21,90,652,104,155,68
100455,022224 19:25:00,022224 19:56:00,171,172,18,43,90,19,91,243,48
100456,022224 09:01:00,022224 09:37:00,157,163,12,26,94,779,75,160,20
100457,022224 17:43:00,022224 18:16:00,139,180,15,39,90,1708,76,109,44
100458,022224 16:29:00,022224 17:02:00,160,162,16,35,90,3684,202,174,31
100459,022224 17:50:00,022224 18:48:00,171,179,11,13,90,3719,272,146,64
100460,022224 16:55:00,022224 17:53:00,143,180,11,46,90,3556,239,133,49
100461,022224 08:44:00,022224 09:27:00,157,177,20,28,90,1475,139,140,34
100462,022224 20:08:00,022224 20:49:00,164,166,10,38,90,880,95,185,45
100463,022224 19:20:00,022224 20:23:00,161,169,16,32,90,2461,276,162,33
100464,022224 09:37:00,022224 10:02:00,141,144,10,14,90,3340,146,203,41
100465,022224 11:56:00,022224 13:11:00,146,178,13,41,90,1904,286,179,68
100466,022224 20:24:00,022224 20:55:00,171,173,14,19,96,3101,146,158,28
100467,022224 09:36:00,022224 10:09:00,145,180,11,42,90,3027,154,170,62
100468,022224 09:35:00,022224 09:55:00,171,173,18,38,90,3973,137,179,54
100469,022224 14:32:00,022224 15:00:00,153,177,12,21,90,3534,121,138,55
100470,022224 10:52:00,022224 11:44:00,156,171,13,43,90,890,97,129,72
100471,022224 15:47:00,022224 16:15:00,153,166,14,35,90,2575,138,187,43
100472,022224 21:39:00,022224 22:05:00,145,178,14,47,90,2631,139,199,55
100473,022224 07:15:00,022224 08:26:00,149,161,11,49,90,3985,416,173,71
100474,022224 11:17:00,022224 11:45:00,148,149,15,40,96,2896,119,146,54
100475,022224 13:40:00,022224 14:28:00,144,146,14,37,90,1005,173,226,72
100476,022224 16:33:00,022224 17:14:00,140,171,17,46,90,2609,181,154,63
100477,022224 15:52:00,022224 17:04:00,136,156,20,41,90,1962,376,198,63
100478,022224 08:48:00,022224 09:43:00,161,171,10,45,90,1680,165,168,52
100479,022224 15:53:00,022224 16:50:00,153,178,16,22,90,3485,326,169,55
100480,022224 09:36:00,022224 10:07:00,143,171,13,19,90,2905,205,236,58
100481,022224 21:17:00,022224 22:04:00,170,177,20,29,90,3041,352,223,28
100482,022224 13:15:00,022224 14:08:00,149,154,20,37,90,271,81,101,52
100483,022224 14:23:00,022224 15:07:00,170,178,18,39,90,495,160,238,25
100484,022224 18:37:00,022224 19:16:00,143,174,20,41,90,504,137,211,32
100485,022224 10:02:00,022224 10:46:00,137,154,16,42,90,526,131,211,55
100486,022224 18:26:00,022224 19:06:00,166,169,18,23,90,2227,198,185,61
100487,022224 15:51:00,022224 16:39:00,138,180,18,45,90,3544,330,193,22
100488,022224 22:28:00,022224 22:57:00,169,179,14,19,99,3025,181,212,35
100489,022224 11:45:00,022224 12:22:00,154,167,13,18,97,2048,94,115,18
100490,022224 09:55:00,022224 10:43:00,135,140,15,28,90,1664,232,230,49
100491,022224 16:06:00,022224 16:48:00,164,165,17,27,90,1417,102,117,52
100492,022224 14:05:00,022224 14:50:00,165,175,19,42,90,3497,161,100,18
100493,022224 13:49:00,022224 14:20:00,165,174,20,42,90,1430,135,191,47
100494,022224 18:53:00,022224 19:23:00,163,169,20,22,90,3121,192,188,53
100495,022224 05:48:00,022224 06:06:00,159,163,14,31,90,549,56,241,22
100496,022224 14:26:00,022224 14:50:00,155,155,20,27,99,557,51,126,71
100497,022224 10:12:00,022224 10:51:00,163,168,14,45,90,1317,83,118,62
100498,022224 17:31:00,022224 18:06:00,156,159,19,28,90,359,103,196,65
100499,022224 15:10:00,022224 15:34:00,156,175,16,42,90,2585,133,200,29
100500,022224 21:11:00,022224 21:30:00,144,155,14,24,90,1271,40,119,21
100501,022224 06:46:00,022224 07:15:00,150,168,11,21,90,3458,169,192,41
100502,022224 06:27:00,022224 07:10:00,149,156,20,28,90,1403,148,152,54
100503,022224 08:58:00,022224 10:11:00,168,173,19,45,90,1803,446,248,60
100504,022224 11:40:00,022224 12:21:00,171,178,12,45,90,3281,221,181,25
100505,022224 15:42:00,022224 16:34:00,159,175,16,31,90,1803,215,183,68
100506,022224 16:15:00,022224 17:00:00,139,173,11,45,90,3719,266,184,70
100507,022224 20:30:00,022224 21:11:00,150,178,13,23,90,3138,123,102,50
100508,022224 17:14:00,022224 17:51:00,146,180,20,38,90,2253,242,231,48
100509,022224 13:44:00,022224 14:39:00,169,175,19,48,90,39,83,118,19
100510,022224 07:48:00,022224 08:15:00,141,142,14,46,90,439,68,206,25
100511,022224 22:12:00,022224 23:00:00,143,167,11,16,90,230,42,100,46
100512,022224 18:36:00,022224 19:13:00,168,169,19,30,90,1307,98,124,44
100513,022224 09:50:00,022224 10:22:00,140,175,11,45,90,1985,140,214,51
100514,022224 05:40:00,022224 06:33:00,151,168,18,30,90,2178,170,121,58
100515,022224 15:37:00,022224 16:45:00,166,167,18,41,98,1318,267,189,25
100516,022224 14:51:00,022224 15:19:00,146,171,19,41,90,1911,95,134,64
100517,022224 13:50:00,022224 14:34:00,162,173,14,32,90,2823,192,155,31
100518,022224 20:37:00,022224 21:13:00,156,164,19,23,90,3902,299,215,47
100519,022224 12:03:00,022224 12:58:00,143,170,12,22,95,643,115,171,26
100520,022224 22:17:00,022224 22:58:00,164,172,14,46,90,2595,204,187,74
100521,022224 14:24:00,022224 14:56:00,172,174,11,48,90,222,46,164,20
100522,022224 20:53:00,022224 21:10:00,160,169,12,27,90,625,42,206,17
100523,022224 08:00:00,022224 08:18:00,161,170,12,12,90,218,28,168,61
100524,022224 09:30:00,022224 10:14:00,152,157,11,36,90,2338,189,188,65
100525,022224 10:37:00,022224 10:58:00,150,160,14,38,98,219,54,242,48
100526,022224 20:56:00,022224 21:16:00,139,173,19,49,90,2846,115,183,18
100527,022224 08:35:00,022224 09:18:00,172,180,11,47,90,1575,147,193,35
100528,022224 08:42:00,022224 09:20:00,168,175,14,46,90,2267,133,144,39
100529,022224 11:44:00,022224 12:11:00,159,163,14,30,95,340,43,139,62
100530,022224 08:21:00,022224 09:31:00,168,179,16,50,90,3632,344,141,59
100531,022224 19:23:00,022224 20:10:00,156,158,10,49,90,3488,331,236,47
100532,022224 18:37:00,022224 19:15:00,163,167,14,30,90,3704,289,224,48
100533,022224 17:17:00,022224 18:41:00,149,174,17,34,90,3290,282,101,76
100534,022224 05:32:00,022224 06:20:00,167,178,11,36,90,1263,127,169,65
100535,022224 21:50:00,022224 22:20:00,142,156,15,42,95,68,71,228,46
100536,022224 17:59:00,022224 18:41:00,143,165,15,47,90,3884,171,114,50
100537,022224 15:45:00,022224 16:22:00,159,168,11,17,90,3771,127,106,70
